Country,Network,MCC,MNC
Netherlands,Vectone Mobile (MVNO),204,06
Netherlands,Teleena Holding B.V.,204,07
Netherlands,KPN,204,08
Netherlands,Lycamobile (MVNO),204,09
Netherlands,Telfort BV,204,12
Netherlands,Ziggo,204,15
Netherlands,T-Mobile (Deutsche Telekom),204,16
Netherlands,UPC (MVNO),204,18
Netherlands,T-Mobile (Deutsche Telekom),204,20
Netherlands,Private Mobility Nederland,204,24
Netherlands Antilles,Telbo,362,78
Netherlands Antilles,Chippie,362,91
New Caledonia,Mobilis,546,01
NEW GUINEA,Digicel,338,00
New Zealand,Vodafone,530,01
New Zealand,Woosh,530,03
New Zealand,Spark,530,05
New Zealand,Skinny (MVNO),530,06
New Zealand,2degrees,530,24
Nicaragua,Claro (América Móvil),710,21
Nicaragua,Movistar (Telefónica),710,30
Nicaragua,CooTel,710,68
Nicaragua,Claro (América Móvil),710,73
Niger,SahelCom (Sonitel),614,01
Niger,Airtel (Bharti Airtel),614,02
Niger,Moov (Etisalat),614,03
Niger,Orange,614,04
Nigeria,Airtel (Bharti Airtel),621,20
Nigeria,Smile Communications Nigeria,621,27
Nigeria,MTN,621,30
Nigeria,Ntel,621,40
Nigeria,Glo Mobile (Globacom),621,50
Nigeria,9mobile,621,60
Norway,Telenor,242,01
Norway,Telia,242,02
Norway,TeliaSonera Norge AS,242,05
Norway,Phonero (MVNO),242,07
Norway,TDC (MVNO),242,08
Norway,Com4 (MVNO),242,09
Norway,Telenor Norge AS,242,12
Norway,ICE Communication Norge AS,242,14
Norway,Jernbaneverket,242,20
Norway,Lycamobile (MVNO),242,23
Oman,Omantel,422,02
Oman,Ooredoo,422,03
Pakistan,Jazz (Mobilink),410,01
Pakistan,Ufone (PTCL),410,03
Pakistan,Zong (China Mobile),410,04
Pakistan,SCO Mobile Ltd,410,05
Pakistan,Telenor,410,06
Pakistan,Jazz (WaridTel),410,07
Pakistan,SCO Mobile,410,08
Palau,PNCC,552,01
Palau,PT Waves,552,02
Palestine,Jawwal (PalTel),425,05
Palestine,Wataniya Mobile,425,06
Panama,Cable & Wireless Panama S.A.,714,01
Panama,Movistar (Telefónica),714,02
Panama,Claro (América Móvil),714,03
Panama,Digicel,714,04
Papua New Guinea,bemobile,537,01
Papua New Guinea,Citifon,537,02
Papua New Guinea,Digicel,537,03
Paraguay,Vox (Hola),744,01
Paraguay,Claro (América Móvil),744,02
Paraguay,Tigo (Millicom),744,04
Paraguay,Personal (Telecom Argentina),744,05
Peru,Movistar (Telefónica),716,06
Peru,Entel,716,07
Peru,Claro (América Móvil),716,10
Peru,Bitel (Viettel Mobile),716,15
Peru,Entel,716,17
Philippines,Globe Telecom,515,02
Philippines,Smart (PLDT),515,03
Philippines,Sun Cellular (PLDT),515,05
Poland,Plus (Polkomtel),260,01
Poland,T-Mobile (Deutsche Telekom),260,02
Poland,Orange (Telekomunikacja Polska),260,03
Poland,Play (P4),260,06
Poland,Netia (MVNO),260,07
Poland,Lycamobile (MVNO),260,09
Poland,Nordisk Polska,260,11
Poland,Cyfrowy Polsat (MVNO),260,12
Poland,Aero2,260,15
Poland,Aero2,260,16
Poland,Aero2,260,17
Poland,Virgin Mobile Polska Sp,260,45
Portugal,Vodafone,268,01
Portugal,NOS,268,03
Portugal,Lycamobile (MVNO),268,04
Portugal,MEO,268,06
Puerto Rico,Claro (América Móvil),330,11
Puerto Rico,Open Mobile,330,12
Qatar,Ooredoo,427,01
Qatar,Vodafone,427,02
Reunion,Orange,647,00
Reunion,Only (Telco OI),647,02
Reunion,Zeop,647,04
Reunion,SFR (Vivendi),647,10
Romania,Vodafone,226,01
Romania,Telekom Romania Mobile Comunications,226,03
Romania,DigiMobil (RCS & RDS),226,05
Romania,Orange,226,10
Romania,Lycamobile (MVNO),226,16
Russia,MTS,250,01
Russia,MegaFon,250,02
Russia,NCC (T2),250,03
Russia,ETK (T2),250,05
Russia,Danycom,250,06
Russia,SMARTS,250,07
Russia,Vainah Telecom,250,08
Russia,Skylink,250,09
Russia,Yota (MVNO),250,11
Russia,Baykalwestcom (T2),250,12
Russia,Lycamobile,250,13
Russia,Utel,250,17
Russia,Tele2,250,20
Russia,TMT LLC,250,27
Russia,LLC Antares,250,28
Russia,K-Telecom,250,32
Russia,Sevtelekom,250,33
Russia,MOTIV,250,35
Russia,Gazprom Telecom,250,41
Russia,MTT,250,42
Russia,Sprint,250,43
Russia,SIM Telecom,250,47
Russia,Globaltel,250,48
Russia,Sberbank Telecom (MVNO),250,50
Russia,KTK Telecom,250,60
Russia,Tinkoff Mobile (MVNO),250,62
Russia,Beeline,250,99
Rwanda,MTN,635,10
Rwanda,Tigo (Millicom),635,13
Rwanda,Airtel (Bharti Airtel),635,14
Saint Kitts and Nevis,FLOW (Cable & Wireless),356,11
Saint Kitts and Nevis,Chippie (UTS),356,70
Saint Lucia,LIME (Cable & Wireless),358,11
Saint Pierre and Miquelon,Ameris (SPM Telecom),308,01
Saint Vincent and the Grenadines,Digicel,360,07
Saint Vincent and the Grenadines,Digicel,360,10
Saint Vincent and the Grenadines,LIME (Cable & Wireless),360,11
Samoa,Samoa,549,00
Samoa,Digicel,549,01
Samoa,BlueSky Communications,549,27
San Marino,San Marino Telecom,292,01
Sao Tomé and Principe,CSTmovel,626,01
Sao Tomé and Principe,Unitel STP,626,02
Satellite,Elsacom,901,04
Satellite,RMSS Network,901,05
Satellite,Maritime Communications Partner (MCP),901,12
Satellite,Global Networks Switzerland AG,901,13
Satellite,SITA GSM Service in Aircraft SITA GSM,901,15
Satellite,EUTEL AB,901,22
Satellite,AT&T Inc.,901,44
Saudi Arabia,STC (Saudi Telecom),420,01
Saudi Arabia,Mobily (Etihad Etisalat),420,03
Saudi Arabia,Zain,420,04
Saudi Arabia,Virgin Mobile (MVNO),420,05
Saudi Arabia,Lebara Mobile,420,06
Senegal,Orange (Sonatel),608,01
Senegal,Tigo (Millicom),608,02
Senegal,Expresso (Sudatel),608,03
Serbia,Telenor,220,01
Serbia,mts (Telekom Srbija),220,03
Serbia,VIP,220,05
Serbia,Vectone Mobile (MVNO),220,09
Serbia,Globaltel (MVNO),220,11
Seychelles,Cable & Wireless,633,01
Seychelles,Airtel (Bharti Airtel),633,10
Sierra Leone,Orange,619,01
Sierra Leone,Africell (Lintel),619,02
Sierra Leone,Africell (Lintel),619,03
Sierra Leone,Africell (Lintel),619,05
Sierra Leone,SierraTel,619,06
Sierra Leone,Qcell,619,07
Sierra Leone,Smart Mobile,619,09
Sierra Leone,Mobitel,619,25
Singapore,SingTel,525,01
Singapore,M1,525,03
Singapore,StarHub,525,05
Singapore,TPG Telecom,525,10
Singapore,Grid Communications,525,12
Sint Maarten,Telcell,362,51
Slovakia,Orange,231,01
Slovakia,Telekom (Slovak Telekom),231,02
Slovakia,4ka (Swan Mobile),231,03
Slovakia,O2,231,06
Slovenia,A1,293,40
Slovenia,Mobitel (Telekom Slovenije),293,41
Slovenia,T-2,293,64
Slovenia,Telemach (Tusmobil),293,70
Solomon Islands,Breeze (Our Telekom),540,01
Solomon Islands,BMobile (Solomon Islands) Ltd,540,02
Somalia,Telesom,637,01
Somalia,Somafone,637,04
Somalia,NationLink Telecom,637,10
Somalia,Hormuud Telecom,637,25
Somalia,Golis Telecom,637,30
Somalia,Hormuud Telecom,637,50
Somalia,NationLink Telecom,637,60
Somalia,Somtel,637,71
Somalia,Telcom,637,82
South Africa,Vodacom,655,01
South Africa,Telkom Mobile,655,02
South Africa,Cell C,655,07
South Africa,MTN,655,10
South Korea,KT,450,02
South Korea,SK Telecom,450,05
South Korea,LG Uplus,450,06
South Korea,olleh (KT),450,08
South Sudan,MTN,659,02
South Sudan,Gemtel,659,03
South Sudan,Vivacell,659,04
South Sudan,Zain,659,06
Spain,Vodafone,214,01
Spain,Orange,214,03
Spain,Yoigo (Xfera Moviles SA),214,04
Spain,Movistar (Telefónica) (MVNO),214,05
Spain,Vodafone (MVNO),214,06
Spain,Movistar (Telefónica),214,07
Spain,Euskaltel (MVNO),214,08
Spain,TeleCable (MVNO),214,16
Spain,Móbil R (MVNO),214,17
Spain,Simyo (MVNO),214,19
Spain,JazzTel (MVNO),214,21
Spain,DigiMobil (MVNO),214,22
Spain,Eroski (MVNO),214,24
Spain,Lycamobile (MVNO),214,25
Spain,Truphone (MVNO),214,27
Spain,Tuenti (MVNO),214,32
Sri Lanka,Mobitel (Sri Lanka Telecom),413,01
Sri Lanka,Dialog (Axiata),413,02
Sri Lanka,Etisalat,413,03
Sri Lanka,Airtel (Bharti Airtel),413,05
Sri Lanka,Hutch (Hutchison),413,08
Sudan,Zain,634,01
Sudan,MTN,634,02
Sudan,Canar Telecom,634,05
Sudan,Sudani One (Sudatel),634,07
Suriname,Telesur,746,02
Suriname,Digicel,746,03
Swaziland,SPTC,653,01
Swaziland,Swazi Mobile Limited,653,02
Swaziland,Swazi MTN,653,10
Sweden,Telia (TeliaSonera),240,01
Sweden,3 (Hutchison),240,02
Sweden,Telenor,240,06
Sweden,Tele2,240,07
Sweden,Telenor,240,08
Sweden,Spring Mobil (Tele2 Sverige AB),240,10
Sweden,Lycamobile (MVNO),240,12
Sweden,Tele2 Business AB,240,14
Sweden,42 Telecom AB,240,16
Sweden,Gotanet (MVNO),240,17
Sweden,Vectone Mobile (MVNO),240,19
Switzerland,Swisscom,228,01
Switzerland,Sunrise,228,02
Switzerland,Salt Mobile SA,228,03
Switzerland,Tele4u,228,08
Switzerland,Relario AG (MVNO),228,51
Switzerland,UPC Cablecom (MVNO),228,53
Switzerland,Lycamobile (MVNO),228,54
Switzerland,Beeone (MVNO),228,58
Syria,Syriatel,417,01
Syria,MTN,417,02
Taiwan,Far EasTone,466,01
Taiwan,Asia Pacific Telecom (APTG),466,05
Taiwan,Far EasTone,466,88
Taiwan,T Star,466,89
Taiwan,Chunghwa Telecom,466,92
Taiwan,Taiwan Mobile,466,97
Tajikistan,JV Somoncom (Tcell),436,01
Tajikistan,Indigo Tajikistan (Tcell),436,02
Tajikistan,TT Mobile (MegaFon),436,03
Tajikistan,Babilon-Mobile,436,04
Tajikistan,Tacom (Beeline),436,05
Tajikistan,T-Mobile,436,06
Tanzania,Tigo (Millicom),640,02
Tanzania,Zantel (Etisalat),640,03
Tanzania,Vodacom,640,04
Tanzania,Airtel (Bharti Airtel),640,05
Tanzania,TTCL Mobile,640,07
Tanzania,Smart,640,08
Tanzania,Halotel,640,09
Thailand,my (CAT Telecom),520,00
Thailand,AIS,520,03
Thailand,True Move (True Corporation),520,04
Thailand,DTAC TriNet,520,05
Thailand,TOT Mobile,520,15
Thailand,DTAC,520,18
Thailand,True Move (True Corporation),520,99
Timor-Leste,Telkomcel,514,01
Timor-Leste,Timor Telecom,514,02
Timor-Leste,Telemor,514,03
Togo,Togo Cell,615,01
Togo,Moov Togo,615,03
Tonga,U-Call (Tonga Telecom),539,01
Tonga,Shoreline Communication,539,43
Tonga,Digicel,539,88
Trinidad and Tobago,bmobile (TSTT),374,12
Trinidad and Tobago,Digicel,374,13
Tunisia,Orange,605,01
Tunisia,Tunicell (Tunisie Telecom),605,02
Tunisia,Ooredoo TN,605,03
Tunisia,Lycamobile,605,06
Turkey,Turkcell,286,01
Turkey,Vodafone,286,02
Turkey,Türk Telekom,286,03
Turkey,KKTCell,286,99
Turkmenistan,TM-Cell (Altyn Asyr),438,02
Turks and Caicos Islands,Digicel,338,50
Turks and Caicos Islands,FLOW (Cable & Wireless),376,35
Tuvalu,TTC (Tuvalu Telecom),553,01
Uganda,Airtel (Bharti Airtel),641,01
Uganda,Vodafone (Afrimax),641,06
Uganda,MTN,641,10
Uganda,UT Mobile (Uganda Telecom),641,11
Uganda,Africell,641,14
Uganda,Smart (Suretelecom Uganda),641,18
Uganda,Airtel (Bharti Airtel),641,22
Uganda,Smile,641,33
Uganda,K2 (MVNO),641,44
Ukraine,Vodafone (PRJSC VF Ukraine),255,01
Ukraine,Kyivstar,255,02
Ukraine,Kyivstar JSC (Kyivstar),255,03
Ukraine,Intertelecom LLC,255,04
Ukraine,Lifecell,255,06
Ukraine,Trimob LLC,255,07
Ukraine,PEOPLEnet,255,21
Ukraine,Phoenix,255,99
United Arab Emirates,Etisalat,424,02
United Arab Emirates,du,424,03
United Kingdom,BT,234,00
United Kingdom,Vectone Mobile (MVNO),234,01
United Kingdom,Tismi BV,234,09
United Kingdom,O2 (Telefónica),234,10
United Kingdom,Vodafone,234,15
United Kingdom,Cloud9 (MVNO),234,18
United Kingdom,3 (Hutchison),234,20
United Kingdom,Greenfone (MVNO),234,24
United Kingdom,Lycamobile (MVNO),234,26
United Kingdom,T-Mobile UK (EE),234,30
United Kingdom,Orange (EE),234,33
United Kingdom,Virgin Mobile,234,38
United Kingdom,Sky UK Limited,234,57
United Kingdom,Lleida,234,99
United States,Verizon Wireless,310,00
United States,Verizon Wireless,310,01
United States,Union Wireless,310,02
United States,AT&T Mobility,310,03
United States,AT&T Mobility,310,04
United States,Consolidated Telcom,310,06
United States,AT&T Mobility,310,07
United States,Corr Wireless (Merged Q1 2010),310,08
United States,Cricket Communications (Leap Wireless),310,09
United States,Plateau Wireless,310,10
United States,Sprint (SoftBank),310,12
United States,AT&T Mobility,310,15
United States,T-Mobile (Deutsche Telekom),310,16
United States,T-Mobile (Deutsche Telekom),310,17
United States,West Central Wireless,310,18
United States,Alaska Communications,310,19
United States,T-Mobile (Deutsche Telekom),310,26
United States,Big Sky Mobile (iSmart Mobile),310,30
United States,T-Mobile,310,31
United States,WestLink Communications (Pioneer Communi,310,34
United States,AT&T Mobility,310,38
United States,Cellular One (TX-11),310,39
United States,AT&T Mobility,310,41
United States,Cincinnati Bell Wireless,310,42
United States,Alaska Communications,310,43
United States,AT&T Mobility,310,44
United States,Viaero Wireless,310,45
United States,US Cellular (TDS),310,46
United States,T-Mobile (Deutsche Telekom),310,49
United States,Alltel Wireless (ATN),310,50
United States,Cellcom (Nsight),310,51
United States,VeriSign (Transactions Network Services),310,52
United States,T-Mobile (Deutsche Telekom),310,53
United States,Oklahoma Western Telephone Company,310,54
United States,AT&T Mobility,310,56
United States,AT&T Mobility,310,57
United States,T-Mobile (Deutsche Telekom),310,58
United States,Alltel Wireless (ATN),310,59
United States,Epic Touch,310,61
United States,Cellcom (Nsight),310,62
United States,AmeriLink PCS,310,63
United States,AirFire Mobile (Airadigm Communications),310,64
United States,Jasper,310,65
United States,T-Mobile (Deutsche Telekom),310,66
United States,AT&T Mobility,310,67
United States,AT&T Mobility,310,68
United States,Immix Wireless,310,69
United States,U.S. Cellular,310,73
United States,Convey,310,74
United States,PTCI (Panhandle Telephone Cooperative),310,76
United States,T-Mobile (Deutsche Telekom),310,77
United States,Airlink PCS,310,78
United States,Pinpoint Communications,310,79
United States,T-Mobile (Deutsche Telekom),310,80
United States,Caprock,310,83
United States,telna Mobile,310,84
United States,Aeris,310,85
United States,Pace (Kaplan Telephone Company),310,87
United States,DTC Wireless,310,88
United States,Verizon Wireless,310,89
United States,Mid-Rivers Wireless,310,90
United States,Cellcom (Nsight),310,91
United States,Iris Wireless LLC,310,94
United States,AT&T Mobility,310,95
United States,Plateau Wireless,310,96
United States,AT&T Mobility,310,98
United States,AT&T Mobility,310,99
United States,Mid-Tex Cellular,311,00
United States,Chariton Valley Telephone Company,311,01
United States,Chariton Valley Telephone Company,311,02
United States,Indigo Wireless,311,03
United States,Commnet Wireless (ATN),311,04
United States,Wikes Cellular,311,05
United States,AT&T Mobility,311,06
United States,AT&T Mobility,311,07
United States,Pine Cellular,311,08
United States,Long Lines Wireless,311,09
United States,High Plains Wireless,311,10
United States,CLEAR (Clearwire),311,11
United States,Choise Phone,311,12
United States,AT&T Mobility,311,13
United States,Sprocket Wireless (Cross Communications),311,14
United States,Wikes Cellular,311,15
United States,AT&T Mobility,311,16
United States,AT&T Mobility,311,17
United States,AT&T Mobility,311,18
United States,Cellular One (Cellular Properties),311,19
United States,Emery Telecom,311,21
United States,US Cellular (TDS),311,22
United States,C Spire Wireless (Telapex),311,23
United States,Wave Runner Llc,311,25
United States,AT&T Mobility,311,26
United States,Leaco Wireless,311,31
United States,Bug Tussel Wireless (Hilbert Communicati,311,33
United States,Stelera Wireless,311,36
United States,GCI,311,37
United States,Verizon Wireless,311,48
United States,OTZ Cellular,311,56
United States,T-Mobile (Deutsche Telekom),311,66
United States,Bluegrass Wireless LLC,311,81
United States,Big River Broadband,311,97
United States,Nextel,316,01
United States,Nextel Communications Inc.,316,10
Uruguay,Antel,748,01
Uruguay,Movistar (Telefónica),748,07
Uruguay,Claro (América Móvil),748,10
Uzbekistan,Beeline (Unitel LLC),434,04
Uzbekistan,Ucell (Coscom),434,05
Uzbekistan,Perfectum Mobile,434,06
Uzbekistan,UMS,434,07
Uzbekistan,UzMobile,434,08
Vanuatu,Smile (Telecom Vanuatu),541,01
Vanuatu,Digicel,541,05
Venezuela,Digitel,734,02
Venezuela,DirecTV,734,03
Venezuela,Movistar (Telefónica),734,04
Venezuela,Movilnet,734,06
Vietnam,MobiFone,452,01
Vietnam,Vinaphone (VNPT),452,02
Vietnam,Viettel Mobile,452,04
Vietnam,Vietnamobile (Hanoi Telecom),452,05
Vietnam,Gmobile (GTEL Mobile),452,07
Wallis and Futuna,Manuia,543,01
WESTERN SAMOA,SAMOA TEL,338,27
Yemen,Sabafon,421,01
Yemen,MTN,421,02
Yemen,Yemen Mobile (CDMA),421,03
Yemen,Y,421,04
Zambia,Airtel (Bharti Airtel),645,01
Zambia,MTN,645,02
Zambia,Zamtel,645,03
Zimbabwe,NetOne,648,01
Zimbabwe,Telecel,648,03
Zimbabwe,Econet Wireless,648,04
